"Species","Class","Buffer_size","Intercept","Intercept_SE","Beta_estimate","Beta_SE","P_value","AIC","AIC_model_set","Significance","sample_size","n_of_records","warnings","Intercept_coef_prob","Beta_estimate_coef_prob"
"Aramides_cajaneus","Aves",250,1.59275066370857,0.454959317145377,0.00755002976060852,0.00723482619001639,0.296685518005705,377.939455847739,"Aramides_cajaneus 250","Non-Significant",114,1044,"_",0.831002750308116,0.501887498474079
"Aramides_cajaneus","Aves",500,1.62904023203455,0.47134604578287,0.00690722302482286,0.00743839344749261,0.353101240100621,378.156498548387,"Aramides_cajaneus 500","Non-Significant",114,1044,"_",0.83603811776356,0.501726798890785
"Aramides_cajaneus","Aves",750,1.41788056230913,0.460273004580296,0.0103407133797054,0.00731748956111445,0.157611503601949,377.085899301915,"Aramides_cajaneus 750","Non-Significant",114,1044,"_",0.805005940407675,0.502585155309003
"Aramides_cajaneus","Aves",1000,1.35072067520617,0.454922243007834,0.0114669647829484,0.00726635351084118,0.114544778073652,376.620148836281,"Aramides_cajaneus 1000","Non-Significant",114,1044,"_",0.794247424800834,0.502866709783527
"Arremon_taciturnus","Aves",250,3.06620493232234,1.09626017991371,-0.0239914997573033,0.0203992607704908,0.239556305369337,40.9085682343402,"Arremon_taciturnus 250","Non-Significant",23,77,"_",0.955477006367511,0.494002412738215
"Arremon_taciturnus","Aves",500,2.54158744367054,1.22391747502659,-0.0146821455387807,0.0264469827543344,0.578789400106379,42.023593699077,"Arremon_taciturnus 500","Non-Significant",23,77,"_",0.927006314755544,0.496329529550603
"Arremon_taciturnus","Aves",750,2.25963092388146,1.24345077407699,-0.00836879595361557,0.0277008806178038,0.762565927943897,42.2437729425187,"Arremon_taciturnus 750","Non-Significant",23,77,"_",0.905478047454887,0.497907813222411
"Arremon_taciturnus","Aves",1000,1.83494614393634,1.29784397892255,0.00160881679079524,0.030063894509235,0.957322971472433,42.33236886338,"Arremon_taciturnus 1000","Non-Significant",23,77,"_",0.862349899671157,0.500402204110947
"Bos_taurus","Mammalia",250,0.451792982143889,0.271838615685573,0.0134165893303179,0.00445824050505935,0.00261771897090981,379.651621421756,"Bos_taurus 250","Significant",102,991,"_",0.611065446855079,0.503354097019914
"Bos_taurus","Mammalia",500,0.538832085002927,0.275176171626382,0.0119758256777588,0.0045211915255774,0.00807731737100699,381.580519179528,"Bos_taurus 500","Significant",102,991,"_",0.63154068914112,0.502993920637084
