"Species","Class","Buffer_size","Intercept","Intercept_SE","Beta_estimate","Beta_SE","P_value","AIC","AIC_model_set","Significance","sample_size","n_of_records","warnings","Intercept_coef_prob","Beta_estimate_coef_prob"
"Aramides_cajaneus","Aves",1000,1.35072067520617,0.454922243007834,0.0114669647829484,0.00726635351084118,0.114544778073652,376.620148836281,"Aramides_cajaneus 1000","Non-Significant",114,1044,"_",0.794247424800834,0.502866709783527
"Arremon_taciturnus","Aves",250,3.06620493232234,1.09626017991371,-0.0239914997573033,0.0203992607704908,0.239556305369337,40.9085682343402,"Arremon_taciturnus 250","Non-Significant",23,77,"_",0.955477006367511,0.494002412738215
"Bos_taurus","Mammalia",250,0.451792982143889,0.271838615685573,0.0134165893303179,0.00445824050505935,0.00261771897090981,379.651621421756,"Bos_taurus 250","Significant",102,991,"_",0.611065446855079,0.503354097019914
"Canis_familiaris","Mammalia",500,2.40968389567573,0.877755913765163,-0.00798139500039145,0.013449630008631,0.55289435867899,178.399334435348,"Canis_familiaris 500","Non-Significant",116,369,"_",0.917562774476597,0.498004661842254
"Catharus_ustulatus","Aves",500,-1.206254401377,0.835629620041618,0.100680473689981,0.021847378590103,0.00000405867505700496,158.656696579892,"Catharus_ustulatus 500","Significant",51,546,"_",0.230364462356397,0.525148878422303
"Cerdocyon_thous","Mammalia",500,-4.09742890394228,1.82997538883813,0.0317103862482333,0.0272428139441943,0.244427718549952,155.802585824141,"Cerdocyon_thous 500","Non-Significant",56,294,"_",0.0163437826577909,0.507926932330217
"Crypturellus_cinereus","Aves",250,3.60941533409757,0.715645419116608,-0.014138008524235,0.0125438591273152,0.259706104554636,150.989700251231,"Crypturellus_cinereus 250","Non-Significant",109,428,"_",0.97364568213723,0.496465556741756
"Crypturellus_soui","Aves",250,0.0776803306003659,0.855772669232739,0.0654890424306504,0.0222171388385253,0.00320167056124494,66.1899706300524,"Crypturellus_soui 250","Significant",48,188,"_",0.519410323095993,0.516366411650191
"Cuniculus_paca","Mammalia",500,0.101082666303051,0.411982496493183,-0.0699894831077944,0.0113700978196587,0.00000000074805865158631,252.271052599323,"Cuniculus_paca 500","Significant",107,621,"_",0.5252491711866,0.482509768338975
"Dasyprocta_fuliginosa","Mammalia",1000,4.08820807251773,0.646712278255131,-0.0440003446651541,0.0114639932254556,0.000123972717337615,209.213043991354,"Dasyprocta_fuliginosa 1000","Significant",71,371,"_",0.983507314128395,0.489001688198561
"Dasypus_novemcinctus","Mammalia",500,-1.69845645113755,0.727544969862724,-0.0276094804280446,0.0138099653876129,0.0455820383908112,152.674129721487,"Dasypus_novemcinctus 500","Significant",137,715,"_",0.154666968974366,0.493098068323086
"Didelphis_marsupialis","Mammalia",500,1.23014285242299,0.492037295359815,-0.0999736292466605,0.0125327326170106,0.00000000000000149930775300686,197.582560813139,"Didelphis_marsupialis 500","Significant",171,1030,"_",0.773843575806571,0.475027388759436
"Eira_barbara","Mammalia",500,0.0323858974040921,0.71992484666541,0.0430396758296318,0.0155551180399572,0.00565896595115035,117.745187775705,"Eira_barbara 500","Significant",73,193,"_",0.508095766762107,0.51075825827993
"Equus_caballus","Mammalia",500,11.716238754047,3.40148421758552,-0.154115375049099,0.0497650221845404,0.00195581311627366,60.2594054431062,"Equus_caballus 500","Significant",29,234,"_",0.999991839841085,0.461547235518911
"Equus_mulus","Mammalia",250,302.189650907464,434235.067428207,-4.19284703967851,5989.44920633557,0.999441449867879,5.84980815849682,"Equus_mulus 250","Non-Significant",2,11,"_",1,0.0148785106450135
"Equus_mulus","Mammalia",500,438.076010926808,628347.654302394,-6.09868659127953,8711.92588331272,0.999441449853902,5.84980815849682,"Equus_mulus 500","Non-Significant",2,11,"_",1,0.00224078307161793
"Equus_mulus","Mammalia",750,474.541733159671,680438.666144387,-6.60427719416152,9434.1582832027,0.999441449865487,5.84980815849682,"Equus_mulus 750","Non-Significant",2,11,"_",1,0.00135272954923425
"Equus_mulus","Mammalia",1000,429.419264163886,615981.560311909,-5.96316022310269,8518.32754148213,0.999441449854583,5.84980815849682,"Equus_mulus 1000","Non-Significant",2,11,"_",1,0.00256517470004193
"Felis_catus","Mammalia",500,-2.60752457523808,1.70529332488053,0.0209483842225499,0.0250581246027541,0.403159571572544,68.3242122436191,"Felis_catus 500","Non-Significant",24,164,"_",0.0686557186995625,0.505236904545708
"Gallus_gallus","Aves",500,20.2129377926702,4.86457652331546,-0.203220653171376,0.0556644092909234,0.00026140596242362,13.3800269689383,"Gallus_gallus 500","Significant",16,408,"_",0.999999998334162,0.449368966264364
"Homo_sapiens","Mammalia",1000,2.7394657485074,0.62169882534466,0.00605054206506519,0.0108664412619107,0.57765731957307,210.23424822085,"Homo_sapiens 1000","Non-Significant",343,702,"_",0.939315650556011,0.501512630901603
